,Sequence_ids,Sequence_times,SessionTime_Reference
101,"[21, 16, 63, 37, 72]","[0.4884000000000128, 0.21479999999996835, 0.2622000000000071, 0.26729999999997744, 1.524499999999989]","[339.60720000000003, 340.09560000000005, 340.3104, 340.5726, 340.8399]"
102,"[21, 16, 63, 37, 72]","[0.467899999999986, 0.22309999999998809, 0.23120000000000118, 0.22230000000001837, 1.3842000000000212]","[342.3644, 342.8323, 343.05539999999996, 343.28659999999996, 343.5089]"
103,"[21, 16, 66, 63, 33, 37, 72]","[0.43130000000002156, 0.195699999999988, 0.11040000000002692, 0.2430999999999699, 0.1178000000000452, 0.2338999999999487, 1.296199999999999]","[344.8931, 345.3244, 345.5201, 345.63050000000004, 345.8736, 345.99140000000006, 346.2253]"
104,"[26, 66, 62]","[0.5731000000000108, 0.11839999999995143, 0.48980000000000246]","[347.5215, 348.0946, 348.21299999999997]"
105,"[21, 16, 63, 37]","[0.38700000000000045, 0.19830000000001746, 0.24490000000002965, 0.25270000000000437]","[348.70279999999997, 349.08979999999997, 349.2881, 349.533]"
106,"[21, 16, 63, 37, 72]","[0.7022000000000048, 0.20519999999999072, 0.2177000000000362, 0.2326999999999657, 1.4680999999999926]","[351.801, 352.5032, 352.7084, 352.9261, 353.1588]"
107,"[21, 16, 63, 37, 72]","[0.5079000000000065, 0.25099999999997635, 0.2533000000000243, 0.233099999999979, 1.6241000000000554]","[354.6269, 355.1348, 355.38579999999996, 355.6391, 355.87219999999996]"
108,"[26, 61, 16, 63, 37, 72]","[0.6356000000000108, 0.3873999999999569, 0.24230000000000018, 0.28880000000003747, 0.2115999999999758, 1.6795999999999935]","[357.4963, 358.13190000000003, 358.5193, 358.7616, 359.0504, 359.262]"
109,"[26, 66, 63, 37, 72]","[1.2058999999999855, 0.0776000000000181, 0.21879999999998745, 0.4784000000000219, 0.3299999999999841]","[360.9416, 362.1475, 362.2251, 362.4439, 362.9223]"
110,"[21, 16, 63, 37, 72]","[0.36230000000000473, 0.23349999999999227, 0.24619999999998754, 0.22630000000003747, 1.67410000000001]","[363.2523, 363.6146, 363.8481, 364.0943, 364.3206]"
111,"[21, 16, 63, 37, 71, 11, 11]","[0.3746999999999616, 0.2503000000000384, 0.2670999999999708, 0.25979999999998427, 1.469500000000039, 0.410000000000025, 0.3399000000000001]","[365.9947, 366.3694, 366.6197, 366.8868, 367.1466, 368.6161, 369.02610000000004]"
112,"[43, 33, 32]","[0.32789999999999964, 0.08620000000001937, 0.3201999999999998]","[372.9775, 373.3054, 373.39160000000004]"
113,"[21, 13, 37, 72]","[0.29769999999996344, 0.595799999999997, 0.328200000000038, 0.3505999999999858]","[373.71180000000004, 374.0095, 374.6053, 374.93350000000004]"
114,"[21, 16, 63, 37, 72]","[0.4116000000000213, 0.32229999999998427, 0.21819999999996753, 0.3391000000000304, 1.454999999999984]","[375.2841, 375.69570000000004, 376.01800000000003, 376.2362, 376.5753]"
115,"[21, 16, 63, 37]","[0.3312000000000239, 0.24739999999997053, 0.20390000000003283, 0.32869999999996935]","[378.0303, 378.36150000000004, 378.6089, 378.81280000000004]"
116,"[21, 16, 66, 63, 37, 72]","[0.4489000000000374, 0.22289999999998145, 0.14359999999999218, 0.23849999999998772, 0.2703000000000202, 1.9208999999999605]","[381.4548, 381.9037, 382.1266, 382.2702, 382.5087, 382.779]"
117,"[26, 63, 32]","[0.6942000000000235, 0.23579999999998336, 0.34250000000002956]","[384.69989999999996, 385.3941, 385.62989999999996]"
118,"[21, 16, 63, 37, 72]","[0.3048000000000002, 0.2659999999999627, 0.23250000000001592, 0.31040000000001555, 0.9399999999999977]","[385.9724, 386.2772, 386.54319999999996, 386.7757, 387.0861]"
119,[22],[0.6961999999999762],[388.0261]
120,"[21, 16, 63, 37, 72]","[0.13050000000004047, 0.2488999999999919, 0.25689999999997326, 0.23160000000001446, 1.1052000000000248]","[388.72229999999996, 388.8528, 389.1017, 389.35859999999997, 389.5902]"
121,"[21, 16, 66, 63, 37, 72]","[0.3251000000000204, 0.23610000000002174, 0.11879999999996471, 0.25319999999999254, 0.21710000000001628, 0.8482999999999947]","[390.6954, 391.0205, 391.25660000000005, 391.3754, 391.6286, 391.8457]"
122,"[21, 16, 63, 37, 72]","[0.30160000000000764, 0.25090000000000146, 0.3130999999999631, 0.2259999999999991, 1.4257000000000062]","[392.694, 392.9956, 393.2465, 393.5596, 393.7856]"
123,"[21, 16, 63, 37, 72]","[0.3483999999999696, 0.26539999999999964, 0.26789999999999736, 0.2288000000000352, 1.2790999999999713]","[395.2113, 395.55969999999996, 395.82509999999996, 396.09299999999996, 396.3218]"
124,"[21, 16, 63, 37, 72]","[0.36009999999998854, 0.23710000000005493, 0.24969999999996162, 0.3032000000000039, 1.1764000000000578]","[397.60089999999997, 397.96099999999996, 398.1981, 398.4478, 398.751]"
125,"[21, 16, 63, 33, 37, 72]","[0.3908999999999878, 0.208500000000015, 0.2477000000000089, 0.16179999999997108, 0.20240000000001146, 1.1089999999999804]","[399.92740000000003, 400.3183, 400.52680000000004, 400.77450000000005, 400.9363, 401.13870000000003]"
126,"[21, 16, 63, 37, 72]","[0.3742000000000303, 0.22549999999995407, 0.23900000000003274, 0.22409999999996444, 1.1200000000000045]","[402.2477, 402.62190000000004, 402.8474, 403.0864, 403.3105]"
127,"[21, 16, 66, 63, 33, 37, 72]","[0.38299999999998136, 0.24689999999998236, 0.07030000000003156, 0.22210000000001173, 0.10869999999999891, 0.2255999999999858, 1.5731999999999857]","[404.4305, 404.8135, 405.06039999999996, 405.1307, 405.3528, 405.4615, 405.6871]"
128,"[21, 16, 66, 63, 37, 72]","[0.3468000000000302, 0.47809999999998354, 0.1490000000000009, 0.21199999999998909, 0.22629999999998063, 0.8960000000000719]","[407.2603, 407.6071, 408.0852, 408.2342, 408.4462, 408.67249999999996]"
129,"[21, 16, 63, 33, 37, 72]","[0.3158000000000243, 0.23799999999999955, 0.2441000000000031, 0.09899999999998954, 0.20390000000003283, 1.8018999999999892]","[409.5687, 409.8845, 410.1225, 410.3666, 410.4656, 410.6695]"
130,"[21, 16, 63, 37, 72]","[0.40749999999997044, 0.22310000000004493, 0.2796999999999912, 0.27649999999999864, 1.3367999999999824]","[412.4714, 412.8789, 413.10200000000003, 413.3817, 413.6582]"
131,"[21, 16, 63, 33, 37]","[0.4397999999999911, 0.23570000000000846, 0.25900000000001455, 0.07179999999999609, 0.2230000000000132]","[414.995, 415.4348, 415.6705, 415.9295, 416.0013]"
132,"[21, 16, 63, 37, 72]","[0.5631000000000199, 0.23900000000003274, 0.22010000000000218, 0.23879999999996926, 1.29849999999999]","[418.426, 418.9891, 419.22810000000004, 419.44820000000004, 419.687]"
133,"[21, 16, 63, 37, 77, 72]","[0.37770000000000437, 0.20629999999999882, 0.24610000000001264, 0.22469999999998436, 0.6554999999999609, 0.39680000000004156]","[420.9855, 421.3632, 421.5695, 421.8156, 422.0403, 422.69579999999996]"
134,"[21, 16, 66, 63, 37, 72]","[0.9159999999999968, 0.22879999999997835, 0.06470000000001619, 0.22169999999999845, 0.20409999999998263, 1.232400000000041]","[423.0926, 424.0086, 424.2374, 424.3021, 424.5238, 424.7279]"
135,"[21, 16, 63, 37, 72]","[0.3838999999999828, 0.20160000000004175, 0.2641999999999598, 0.21790000000004284, 0.5708999999999378]","[425.9603, 426.3442, 426.54580000000004, 426.81, 427.02790000000005]"
136,"[21, 16, 63, 37, 72]","[0.3172000000000139, 0.22350000000000136, 0.29579999999998563, 0.295599999999979, 1.1896000000000413]","[427.5988, 427.916, 428.1395, 428.4353, 428.73089999999996]"
137,"[21, 11, 16, 63, 37]","[0.29419999999998936, 0.13470000000000937, 0.22100000000000364, 0.2869000000000028, 0.20999999999997954]","[429.9205, 430.2147, 430.3494, 430.5704, 430.8573]"
138,[12],[0.5732000000000426],[435.08239999999995]
139,"[26, 63, 37, 72]","[0.7980000000000018, 0.255299999999977, 0.3616000000000099, 0.2925999999999931]","[435.6558, 436.4538, 436.7091, 437.0707]"
140,"[21, 16, 63, 37, 72]","[0.3020000000000209, 0.2501999999999498, 0.24130000000002383, 0.21530000000001337, 1.2293999999999983]","[437.3633, 437.6653, 437.91549999999995, 438.1568, 438.3721]"
141,[21],[0.30129999999996926],[439.6015]
142,"[16, 63, 33, 37, 72]","[0.22950000000003, 0.26849999999996044, 0.133199999999988, 0.2137000000000171, 1.851600000000019]","[439.9324, 440.1619, 440.43039999999996, 440.56359999999995, 440.77729999999997]"
143,"[21, 16, 66, 63, 37, 72]","[0.3520000000000323, 0.24250000000000682, 0.11039999999997008, 0.241800000000012, 0.219600000000014, 0.9125999999999976]","[442.6289, 442.9809, 443.2234, 443.3338, 443.5756, 443.7952]"
144,"[21, 16, 63, 37, 72]","[0.3281999999999812, 0.22950000000003, 0.2478999999999587, 0.23340000000001737, 1.2019000000000233]","[444.7078, 445.036, 445.26550000000003, 445.5134, 445.7468]"
145,"[21, 11, 16, 62]","[0.35019999999997253, 0.5271999999999935, 0.27780000000001337, 0.42490000000003647]","[446.94870000000003, 447.2989, 447.8261, 448.1039]"
146,"[21, 16, 63, 37, 72]","[0.2851999999999748, 0.27379999999999427, 0.245900000000006, 0.29930000000001655, 0.9916000000000054]","[448.52880000000005, 448.814, 449.0878, 449.3337, 449.63300000000004]"
147,"[21, 16, 63, 37, 72]","[0.5966999999999985, 0.23959999999999582, 0.23160000000001446, 0.3048000000000002, 1.3099999999999454]","[450.62460000000004, 451.22130000000004, 451.46090000000004, 451.69250000000005, 451.99730000000005]"
148,"[26, 61, 16]","[0.5886999999999603, 0.5192000000000121, 0.2866999999999962]","[453.3073, 453.89599999999996, 454.41519999999997]"
149,"[63, 37, 72]","[0.21469999999999345, 0.24630000000001928, 0.6174000000000319]","[454.74039999999997, 454.95509999999996, 455.2014]"
