,Sequence_ids,Sequence_times,SessionTime_Reference
810,"[26, 63, 32]","[0.4940000000001419, 0.24319999999988795, 0.5498999999999796]","[2278.299, 2278.793, 2279.0362]"
811,"[26, 63, 32]","[0.5578000000000429, 0.2177999999998974, 0.5212000000001353]","[2279.5861, 2280.1439, 2280.3617]"
812,"[21, 16, 63, 37, 72]","[0.31510000000025684, 0.2005999999996675, 0.23240000000032524, 0.24549999999999272, 1.2451999999998407]","[2280.8829, 2281.1980000000003, 2281.3986, 2281.6310000000003, 2281.8765000000003]"
813,"[21, 16, 63, 37, 72]","[0.7089000000000851, 0.2503999999998996, 0.2703000000001339, 0.260899999999765, 1.2474999999999454]","[2283.1217, 2283.8306000000002, 2284.081, 2284.3513000000003, 2284.6122]"
814,"[21, 16, 63, 37, 72]","[0.27819999999974243, 0.36120000000028085, 0.2585999999996602, 0.25, 1.48050000000012]","[2285.8597, 2286.1378999999997, 2286.4991, 2286.7576999999997, 2287.0076999999997]"
815,"[21, 16, 63, 37, 72]","[0.28880000000026484, 0.23229999999966822, 0.2118000000000393, 0.22650000000021464, 1.1819000000000415]","[2288.4882, 2288.777, 2289.0092999999997, 2289.2210999999998, 2289.4476]"
816,"[21, 11, 16, 63, 37, 72]","[0.30139999999983047, 1.493199999999888, 0.22159999999985303, 0.24420000000009168, 0.22690000000011423, 1.309700000000248]","[2290.6295, 2290.9309, 2292.4240999999997, 2292.6456999999996, 2292.8898999999997, 2293.1168]"
817,"[21, 16, 63, 37, 72]","[0.28490000000010696, 0.26060000000006767, 0.26179999999976644, 0.24040000000013606, 1.220799999999599]","[2294.4265, 2294.7114, 2294.972, 2295.2338, 2295.4742]"
818,"[21, 16, 66, 63, 37, 72]","[0.35250000000041837, 0.2765999999996893, 0.07380000000011933, 0.201799999999821, 0.2108000000002903, 1.1846999999997934]","[2296.6949999999997, 2297.0475, 2297.3241, 2297.3979, 2297.5996999999998, 2297.8105]"
819,"[21, 16, 63, 37, 72]","[0.2869999999998072, 0.26080000000001746, 0.23289999999997235, 0.2233000000001084, 1.3992000000002918]","[2298.9952, 2299.2821999999996, 2299.5429999999997, 2299.7758999999996, 2299.9991999999997]"
820,"[21, 16, 63, 37, 72]","[0.5985000000000582, 0.2357999999999265, 0.24530000000004293, 0.21979999999985012, 1.184700000000248]","[2301.3984, 2301.9969, 2302.2327, 2302.478, 2302.6978]"
821,"[21, 16]","[0.7051000000001295, 0.20579999999972642]","[2303.8825, 2304.5876000000003]"
822,"[63, 37, 72]","[0.20810000000028595, 0.22890000000006694, 0.7378999999996267]","[2304.837, 2305.0451000000003, 2305.2740000000003]"
823,"[21, 16, 63, 37, 72]","[0.3141000000000531, 0.2539000000001579, 0.2062999999998283, 0.25540000000000873, 1.4516999999996187]","[2306.0119, 2306.326, 2306.5799, 2306.7862, 2307.0416]"
824,"[21, 16, 62]","[0.28860000000031505, 0.4396999999999025, 0.2588999999998123]","[2308.4932999999996, 2308.7819, 2309.2216]"
825,[22],[0.11790000000019063],[2309.4804999999997]
826,"[26, 63, 37, 71]","[0.6122999999997774, 0.29120000000011714, 0.24610000000029686, 1.6536999999998443]","[2309.5984, 2310.2106999999996, 2310.5018999999998, 2310.748]"
827,[32],[0.25369999999975335],[2316.2693]
828,"[21, 16, 63, 37, 72]","[0.2802000000001499, 0.3182000000001608, 0.4200999999998203, 0.35969999999997526, 1.2819000000004053]","[2316.5229999999997, 2316.8032, 2317.1214, 2317.5415, 2317.9012]"
829,"[26, 61, 16, 63, 37, 72]","[0.5598999999997432, 0.2739000000001397, 0.2885999999998603, 0.2233000000001084, 0.1999999999998181, 1.0982000000003609]","[2319.1831, 2319.743, 2320.0169, 2320.3055, 2320.5288, 2320.7288]"
830,"[21, 16, 63, 37, 72]","[0.2601999999997133, 0.4446000000002641, 0.21509999999989304, 0.20249999999987267, 1.2204999999999018]","[2321.827, 2322.0872, 2322.5318, 2322.7469, 2322.9494]"
831,"[21, 13, 37, 72]","[0.23349999999982174, 0.5093999999999141, 0.2795000000000982, 0.26670000000012806]","[2324.1699, 2324.4033999999997, 2324.9127999999996, 2325.1922999999997]"
832,"[21, 16, 63, 33, 37, 72]","[0.26749999999992724, 0.22010000000000218, 0.21669999999994616, 0.11580000000003565, 0.2318000000000211, 1.2221000000004096]","[2325.459, 2325.7264999999998, 2325.9465999999998, 2326.1632999999997, 2326.2790999999997, 2326.5108999999998]"
833,"[21, 16, 63, 37, 72]","[0.2925000000000182, 0.2669999999998254, 0.19430000000011205, 0.23279999999977008, 1.2769000000002961]","[2327.733, 2328.0255, 2328.2925, 2328.4868, 2328.7196]"
834,"[21, 11, 16, 63, 37, 72]","[0.28969999999981155, 0.31140000000004875, 0.2899000000002161, 0.23540000000002692, 0.21939999999995052, 1.587999999999738]","[2329.9965, 2330.2862, 2330.5976, 2330.8875000000003, 2331.1229000000003, 2331.3423000000003]"
835,"[21, 11, 16, 63, 37, 72]","[0.3117000000002008, 0.11839999999983775, 0.29440000000022337, 0.2567999999996573, 0.21630000000004657, 0.7603000000003703]","[2332.9303, 2333.242, 2333.3604, 2333.6548000000003, 2333.9116, 2334.1279]"
836,"[21, 13, 32]","[0.2743000000000393, 0.46729999999979555, 0.48480000000017753]","[2334.8882000000003, 2335.1625000000004, 2335.6298]"
837,"[21, 16, 63, 37, 72]","[0.31899999999996, 0.23250000000007276, 0.24099999999998545, 0.23079999999981737, 1.1156999999998334]","[2336.1146000000003, 2336.4336000000003, 2336.6661000000004, 2336.9071000000004, 2337.1379]"
838,[22],[0.07819999999992433],[2338.2536]
839,"[21, 16, 63, 37, 72]","[0.2258999999999105, 0.2678000000000793, 0.20630000000028303, 0.22319999999990614, 1.2125999999998385]","[2338.3318, 2338.5577, 2338.8255, 2339.0318, 2339.255]"
840,"[21, 16]","[0.2964999999999236, 0.3683000000000902]","[2340.4676, 2340.7641]"
841,"[63, 37, 72]","[0.26530000000002474, 0.20559999999977663, 1.4535000000000764]","[2341.1432, 2341.4085, 2341.6141]"
842,"[21, 16, 63, 37, 72]","[0.30640000000039436, 0.34600000000000364, 0.20479999999997744, 0.22199999999975262, 1.3959999999997308]","[2343.0676, 2343.3740000000003, 2343.7200000000003, 2343.9248000000002, 2344.1468]"
843,"[21, 13, 37, 72]","[0.3020000000001346, 0.4760999999998603, 0.23779999999987922, 0.31330000000025393]","[2345.5427999999997, 2345.8448, 2346.3208999999997, 2346.5586999999996]"
844,"[26, 63, 37, 72]","[0.5599999999999454, 0.22850000000016735, 0.23479999999972279, 1.301900000000387]","[2346.872, 2347.432, 2347.6605, 2347.8952999999997]"
845,"[21, 16, 63, 37, 72]","[0.2766999999998916, 0.3006000000000313, 0.22989999999981592, 0.24929999999994834, 1.5159000000003289]","[2349.1972, 2349.4739, 2349.7745, 2350.0044, 2350.2536999999998]"
846,"[21, 13, 32]","[0.2768999999998414, 0.42590000000018335, 0.44259999999985666]","[2351.7696, 2352.0465, 2352.4724]"
847,"[21, 16, 63, 37, 72]","[0.32540000000017244, 0.23549999999977445, 0.22180000000025757, 0.22139999999990323, 1.2016999999996187]","[2352.915, 2353.2404, 2353.4759, 2353.6977, 2353.9191]"
848,"[21, 16, 63, 37, 72]","[0.31140000000004875, 0.28549999999995634, 0.21700000000009823, 0.21010000000023865, 1.6023000000000138]","[2355.1207999999997, 2355.4321999999997, 2355.7176999999997, 2355.9347, 2356.1448]"
849,"[21, 13, 32]","[0.290599999999813, 0.44230000000015934, 0.48909999999978027]","[2357.7471, 2358.0377, 2358.48]"
850,[22],[0.11200000000008004],[2358.9691]
851,"[21, 16, 63, 37, 72]","[0.27089999999998327, 0.22400000000016007, 0.19989999999961583, 0.24200000000018917, 0.8599000000003798]","[2359.0811, 2359.352, 2359.576, 2359.7758999999996, 2360.0179]"
852,"[21, 13, 32]","[0.2645999999999731, 0.4922999999998865, 0.38580000000001746]","[2360.8778, 2361.1424, 2361.6347]"
853,"[21, 16, 63, 37, 72]","[0.3360000000002401, 0.21109999999998763, 0.2385999999996784, 0.20319999999992433, 1.6580000000003565]","[2362.0205, 2362.3565000000003, 2362.5676000000003, 2362.8062, 2363.0094]"
854,"[21, 13, 32]","[0.2770999999997912, 0.4760000000001128, 0.2626000000000204]","[2364.6674000000003, 2364.9445, 2365.4205]"
855,"[21, 16, 63, 37, 72]","[0.7804999999998472, 0.2798999999999978, 0.2116000000000895, 0.2353000000002794, 1.4519000000000233]","[2365.6831, 2366.4636, 2366.7435, 2366.9551, 2367.1904000000004]"
856,"[21, 11, 11, 13, 37, 72]","[0.260899999999765, 0.6376000000000204, 0.46109999999998763, 0.5223000000000866, 0.24739999999974316, 0.4616000000000895]","[2368.6423000000004, 2368.9032, 2369.5408, 2370.0019, 2370.5242000000003, 2370.7716]"
857,"[21, 16, 63, 37, 72]","[0.28130000000010114, 0.27680000000009386, 0.20699999999987995, 0.274199999999837, 1.5270999999997912]","[2371.2332, 2371.5145, 2371.7913000000003, 2371.9983, 2372.2725]"
858,"[21, 13, 31, 13, 32]","[0.29179999999996653, 0.46070000000008804, 0.4216000000001259, 0.46099999999978536, 0.4610000000002401]","[2373.7996, 2374.0914, 2374.5521, 2374.9737, 2375.4347]"
859,"[21, 16, 63, 37, 71]","[0.31839999999965585, 0.404700000000048, 0.2055000000000291, 0.23010000000022046, 1.313499999999749]","[2375.8957, 2376.2140999999997, 2376.6187999999997, 2376.8242999999998, 2377.0544]"
860,"[63, 32]","[0.6257999999997992, 0.36760000000003856]","[2387.0112, 2387.6369999999997]"
861,"[26, 63, 37, 72]","[0.6426000000001295, 0.22690000000011423, 0.338799999999992, 0.3568999999997686]","[2388.0045999999998, 2388.6472, 2388.8741, 2389.2129]"
862,"[21, 13, 37, 72]","[0.26250000000027285, 0.48149999999986903, 0.27999999999974534, 0.3061999999999898]","[2389.5697999999998, 2389.8323, 2390.3138, 2390.5937999999996]"
863,"[21, 13, 37, 72]","[0.27719999999999345, 0.46430000000009386, 0.28510000000005675, 0.2379000000000815]","[2390.8999999999996, 2391.1771999999996, 2391.6414999999997, 2391.9266]"
864,"[21, 13, 37, 72]","[0.3261999999999716, 0.5009000000000015, 0.36859999999978754, 0.41580000000021755]","[2392.1645, 2392.4907, 2392.9916, 2393.3601999999996]"
865,"[21, 16, 63, 37, 72]","[0.2519999999999527, 0.29149999999981446, 0.3199000000004162, 0.26099999999996726, 1.830500000000029]","[2393.776, 2394.028, 2394.3194999999996, 2394.6394, 2394.9004]"
866,"[21, 13, 31, 13, 32]","[0.3125999999997475, 0.5207000000000335, 0.46210000000019136, 0.4908999999997832, 0.5138999999999214]","[2396.7309, 2397.0434999999998, 2397.5642, 2398.0263, 2398.5172]"
867,"[21, 13, 37, 72]","[0.27120000000013533, 0.49699999999984357, 0.30270000000018626, 0.4807999999998174]","[2399.0310999999997, 2399.3023, 2399.7992999999997, 2400.102]"
868,"[21, 11, 16, 63, 37, 72]","[0.2578000000003158, 0.3667000000000371, 0.290599999999813, 0.1893000000000029, 0.24530000000004293, 1.5049000000003616]","[2400.5827999999997, 2400.8406, 2401.2073, 2401.4979, 2401.6872, 2401.9325]"
869,"[21, 16, 63, 37, 72]","[0.28569999999990614, 0.327900000000227, 0.19110000000000582, 0.24159999999983484, 0.7944999999999709]","[2403.4376, 2403.7233, 2404.0512000000003, 2404.2423000000003, 2404.4839]"
870,"[21, 11, 16, 66]","[0.22419999999965512, 0.8881000000001222, 0.2697000000002845, 0.0826999999999316]","[2405.2784, 2405.5026, 2406.3907, 2406.6604]"
871,"[63, 37, 72]","[0.29169999999976426, 0.23430000000007567, 1.5923999999999978]","[2406.7912, 2407.0829, 2407.3172]"
872,"[21, 16, 63, 37, 72]","[0.28379999999970096, 0.27080000000023574, 0.21289999999999054, 0.21479999999974098, 1.008600000000115]","[2408.9096, 2409.1933999999997, 2409.4642, 2409.6771, 2409.8918999999996]"
873,[22],[0.0967000000000553],[2410.9004999999997]
874,"[21, 16, 63, 37, 72]","[0.27719999999999345, 0.23129999999991924, 0.19230000000015934, 0.27719999999999345, 1.3546000000001186]","[2410.9972, 2411.2744, 2411.5056999999997, 2411.698, 2411.9752]"
875,"[21, 16, 63, 37, 72]","[0.31060000000024957, 0.29149999999981446, 0.22610000000031505, 0.22329999999965366, 1.099699999999757]","[2413.3298, 2413.6404, 2413.9319, 2414.1580000000004, 2414.3813]"
876,"[21, 16, 63, 37, 72]","[0.274199999999837, 0.2974000000003798, 0.19749999999976353, 0.2220999999999549, 1.4679000000000997]","[2415.4809999999998, 2415.7551999999996, 2416.0526, 2416.2500999999997, 2416.4721999999997]"
877,"[21, 13, 31, 16, 63, 37, 72]","[0.3087000000000444, 0.5066999999999098, 0.44610000000011496, 0.26050000000032014, 0.23799999999982901, 0.22249999999985448, 1.4259000000001834]","[2417.9401, 2418.2488, 2418.7554999999998, 2419.2016, 2419.4621, 2419.7001, 2419.9226]"
878,"[21, 11, 16, 63, 37, 72]","[0.31899999999996, 0.9016000000001441, 0.23279999999977008, 0.21109999999998763, 0.30260000000043874, 1.2524999999995998]","[2421.3485, 2421.6675, 2422.5691, 2422.8019, 2423.013, 2423.3156000000004]"
879,"[21, 16, 63, 37, 72]","[0.2578000000003158, 0.27680000000009386, 0.2165999999997439, 0.24639999999999418, 1.2509000000000015]","[2424.5681, 2424.8259000000003, 2425.1027000000004, 2425.3193, 2425.5657]"
880,"[21, 11, 13, 32]","[0.28710000000000946, 0.1301999999996042, 0.9048999999999978, 0.4898000000002867]","[2426.8166, 2427.1037, 2427.2338999999997, 2428.1387999999997]"
881,"[21, 16, 63, 37, 72]","[0.438499999999749, 0.21350000000029468, 0.21979999999985012, 0.2377000000001317, 1.205500000000029]","[2428.6286, 2429.0670999999998, 2429.2806, 2429.5004, 2429.7381]"
882,"[21, 16, 63, 37, 72]","[0.2666999999996733, 0.2575000000001637, 0.23630000000002838, 0.2266999999997097, 1.39850000000024]","[2430.9436, 2431.2102999999997, 2431.4678, 2431.7041, 2431.9307999999996]"
883,"[21, 13, 31, 16, 63, 37, 72]","[0.3045999999999367, 0.51299999999992, 0.509900000000016, 0.23860000000013315, 0.19689999999991414, 0.25440000000025975, 1.221900000000005]","[2433.3293, 2433.6339, 2434.1468999999997, 2434.6567999999997, 2434.8954, 2435.0923, 2435.3467]"
884,"[21, 13, 32]","[0.26080000000001746, 0.4924999999998363, 0.27480000000014115]","[2436.5686, 2436.8294, 2437.3219]"
885,"[21, 16, 63, 37, 72]","[0.2880000000000109, 0.2644999999997708, 0.22719999999981155, 0.21450000000004366, 1.3314000000004853]","[2437.5967, 2437.8847, 2438.1492, 2438.3763999999996, 2438.5908999999997]"
886,"[21, 16, 66, 63, 37, 72]","[0.2787999999995918, 0.2514000000001033, 0.2037000000000262, 0.2764999999999418, 0.2472000000002481, 1.3591999999998734]","[2439.9223, 2440.2010999999998, 2440.4525, 2440.6562, 2440.9327, 2441.1799]"
887,"[21, 16, 63, 37, 72]","[0.28490000000010696, 0.25250000000005457, 0.20959999999968204, 0.2373000000002321, 1.371599999999944]","[2442.5391, 2442.824, 2443.0765, 2443.2861, 2443.5234]"
888,"[21, 11, 16, 63, 37, 72]","[0.2851999999998043, 1.0116000000002714, 0.22069999999985157, 0.22820000000001528, 0.21549999999979264, 0.9646000000002459]","[2444.895, 2445.1802, 2446.1918, 2446.4125, 2446.6407, 2446.8561999999997]"
889,"[21, 16]","[0.23460000000022774, 0.2647999999999229]","[2447.8208, 2448.0554]"
890,"[63, 37, 72]","[0.21139999999968495, 0.21980000000030486, 1.2192999999997483]","[2448.3537, 2448.5651, 2448.7849]"
891,"[21, 16, 63, 37, 72]","[0.2703000000001339, 0.23829999999998108, 0.2235000000000582, 0.22690000000011423, 1.561399999999594]","[2450.0042, 2450.2745, 2450.5128, 2450.7363, 2450.9632]"
892,"[21, 16, 63, 37, 72]","[0.30280000000038854, 0.29839999999967404, 0.19450000000006185, 0.21700000000009823, 1.1784999999999854]","[2452.5245999999997, 2452.8274, 2453.1258, 2453.3203, 2453.5373]"
893,"[21, 17, 72]","[0.2518000000000029, 1.1358000000000175, 0.4883999999997286]","[2454.7158, 2454.9676, 2456.1034]"
894,"[21, 16, 66, 63, 37, 72]","[0.2626000000000204, 0.22200000000020736, 0.17639999999983047, 0.29559999999992215, 0.22319999999990614, 1.2001000000004751]","[2456.5917999999997, 2456.8543999999997, 2457.0764, 2457.2527999999998, 2457.5483999999997, 2457.7715999999996]"
895,"[21, 16, 63, 37, 72]","[0.24909999999999854, 0.2502999999996973, 0.2209000000002561, 0.22640000000001237, 1.4312999999997373]","[2458.9717, 2459.2208, 2459.4710999999998, 2459.692, 2459.9184]"
896,"[21, 16, 63, 37, 72]","[0.30270000000018626, 0.25, 0.20329999999967185, 0.23500000000012733, 1.2012000000004264]","[2461.3496999999998, 2461.6524, 2461.9024, 2462.1056999999996, 2462.3406999999997]"
897,"[21, 16, 63, 37, 72]","[0.2806000000000495, 0.27389999999968495, 0.24859999999989668, 0.22050000000035652, 1.1774999999997817]","[2463.5419, 2463.8225, 2464.0964, 2464.345, 2464.5655]"
898,"[21, 16, 63, 37, 72]","[0.2905000000000655, 0.29910000000018044, 0.2426999999997861, 0.3184999999998581, 1.456800000000385]","[2465.743, 2466.0335, 2466.3326, 2466.5753, 2466.8938]"
899,"[21, 16, 66, 63, 33, 37, 72]","[0.3108999999999469, 0.19849999999996726, 0.05290000000013606, 0.223700000000008, 0.141399999999976, 0.20089999999981956, 1.4489999999996144]","[2468.3506, 2468.6615, 2468.86, 2468.9129000000003, 2469.1366000000003, 2469.2780000000002, 2469.4789]"
900,"[26, 61, 16, 63, 37, 72]","[0.6113000000000284, 0.5195000000003347, 0.2750999999998385, 0.25480000000015934, 0.21769999999969514, 1.2987000000002809]","[2470.9278999999997, 2471.5391999999997, 2472.0587, 2472.3338, 2472.5886, 2472.8062999999997]"
901,"[21, 16, 63, 37, 72]","[0.37750000000005457, 0.23119999999971697, 0.21330000000034488, 0.20910000000003492, 1.0933999999997468]","[2474.105, 2474.4825, 2474.7137, 2474.927, 2475.1361]"
902,"[21, 16, 63, 37, 72]","[0.2602000000001681, 0.2557999999999083, 0.33219999999982974, 0.2760000000002947, 0.8042000000000371]","[2476.2295, 2476.4897, 2476.7455, 2477.0777, 2477.3537]"
903,"[21, 16, 63, 37, 72]","[0.2802999999998974, 0.2559999999998581, 0.2274000000002161, 0.2851999999998043, 1.2232000000003609]","[2478.1579, 2478.4382, 2478.6942, 2478.9216, 2479.2068]"
904,"[21, 16, 63, 37, 72]","[0.2887000000000626, 0.2399000000000342, 0.2626000000000204, 0.28099999999994907, 1.4850999999998749]","[2480.4300000000003, 2480.7187000000004, 2480.9586000000004, 2481.2212000000004, 2481.5022000000004]"
905,"[21, 16, 63, 37, 72]","[0.28609999999980573, 0.23150000000032378, 0.27559999999994034, 0.29389999999966676, 1.5049999999996544]","[2482.9873000000002, 2483.2734, 2483.5049000000004, 2483.7805000000003, 2484.0744]"
906,"[21, 16, 63, 37, 72]","[0.2962000000002263, 0.22049999999990177, 0.21939999999995052, 0.20690000000013242, 1.3603000000002794]","[2485.5793999999996, 2485.8756, 2486.0960999999998, 2486.3154999999997, 2486.5224]"
907,"[21, 16, 63, 37, 72]","[0.2899999999999636, 0.2921000000001186, 0.20460000000002765, 0.2238999999999578, 1.2959999999998217]","[2487.8827, 2488.1727, 2488.4648, 2488.6694, 2488.8933]"
908,"[21, 13, 37, 72]","[0.32819999999992433, 0.47319999999990614, 0.25580000000036307, 0.31599999999980355]","[2490.1893, 2490.5175, 2490.9907, 2491.2465]"
909,"[21, 16, 63, 37, 72]","[0.33100000000013097, 0.22640000000001237, 0.22080000000005384, 0.222599999999602, 1.247400000000198]","[2491.5625, 2491.8935, 2492.1199, 2492.3407, 2492.5633]"
910,"[21, 16]","[0.2980999999999767, 0.5509000000001834]","[2493.8107, 2494.1088]"
911,"[66, 63, 37, 72]","[0.05349999999998545, 0.2154000000000451, 0.2254000000002634, 1.3034999999999854]","[2494.6897, 2494.7432, 2494.9586, 2495.184]"
912,"[21, 16]","[0.2992999999996755, 0.2031000000001768]","[2496.4875, 2496.7868]"
913,"[63, 37, 72]","[0.18780000000015207, 0.2139999999999418, 1.2142000000003463]","[2497.0253, 2497.2131, 2497.4271]"
914,"[21, 16]","[0.31579999999985375, 0.2600999999999658]","[2498.6413000000002, 2498.9571]"
915,"[63, 37, 72]","[0.223700000000008, 0.22020000000020445, 1.425199999999677]","[2499.2651, 2499.4888, 2499.7090000000003]"
916,"[21, 16, 63, 37, 72]","[0.3281000000001768, 0.25050000000010186, 0.2567999999996573, 0.2074999999999818, 1.3333000000002357]","[2501.1342, 2501.4623, 2501.7128000000002, 2501.9696, 2502.1771]"
917,"[21, 12]","[0.27880000000004657, 0.1777999999999338]","[2503.5104, 2503.7892]"
918,"[26, 63, 37, 72]","[0.06280000000015207, 0.2199000000000524, 0.2205999999996493, 1.3557000000000698]","[2503.967, 2504.0298000000003, 2504.2497000000003, 2504.4703]"
919,"[21, 16, 63, 37]","[0.2941000000000713, 0.26299999999991996, 0.23900000000003274, 0.21370000000024447]","[2505.826, 2506.1201, 2506.3831, 2506.6221]"
920,"[26, 66, 63, 32]","[0.63149999999996, 0.08829999999989013, 0.21010000000023865, 0.5585999999998421]","[2509.5504, 2510.1819, 2510.2702, 2510.4803]"
921,"[21, 16, 66, 63, 37, 72]","[0.2399000000000342, 0.2580000000002656, 0.12479999999959546, 0.2874000000001615, 0.21439999999984138, 1.0488000000004831]","[2511.0389, 2511.2788, 2511.5368000000003, 2511.6616, 2511.949, 2512.1634]"
922,"[21, 16, 63, 37, 72]","[0.27009999999972933, 0.2501999999999498, 0.219300000000203, 0.20420000000012806, 1.0828999999998814]","[2513.2122000000004, 2513.4823, 2513.7325, 2513.9518000000003, 2514.1560000000004]"
923,"[21, 16, 63, 37, 72]","[0.2930999999998676, 0.2741000000000895, 0.22089999999980137, 0.2235000000000582, 1.2959999999998217]","[2515.2389000000003, 2515.532, 2515.8061000000002, 2516.027, 2516.2505]"
924,"[21, 16, 66, 63, 37, 72]","[0.29739999999992506, 0.27240000000028886, 0.21809999999959473, 0.23890000000028522, 0.2185999999996966, 1.597400000000107]","[2517.5465, 2517.8439, 2518.1163, 2518.3343999999997, 2518.5733, 2518.7918999999997]"
925,"[21, 16, 61, 12]","[0.33019999999987704, 0.28860000000031505, 0.3373999999998887, 0.9848999999999251]","[2520.3893, 2520.7194999999997, 2521.0081, 2521.3455]"
926,[22],[0.2355000000002292],[2522.3304]
927,"[21, 16, 66, 63, 37, 72]","[0.40079999999989013, 1.7244999999998072, 0.24099999999998545, 0.2318000000000211, 0.3225999999999658, 1.3126000000002023]","[2522.5659, 2522.9667, 2524.6911999999998, 2524.9321999999997, 2525.1639999999998, 2525.4865999999997]"
928,"[21, 16, 63, 37, 72]","[0.2903000000001157, 0.269800000000032, 0.22129999999970096, 0.22870000000011714, 1.1056000000003223]","[2526.7992, 2527.0895, 2527.3593, 2527.5806, 2527.8093]"
929,"[21, 16, 63, 37, 72]","[0.2282999999997628, 0.2481999999999971, 0.18360000000029686, 0.23019999999996799, 1.3620999999998276]","[2528.9149, 2529.1432, 2529.3914, 2529.5750000000003, 2529.8052000000002]"
930,"[21, 16, 63, 37, 72]","[0.2957000000001244, 0.26099999999996726, 0.2055000000000291, 0.2262999999998101, 1.4924999999998363]","[2531.1673, 2531.463, 2531.724, 2531.9295, 2532.1558]"
931,"[26, 63, 32]","[0.5192999999999302, 0.21590000000014697, 0.5011999999996988]","[2533.6483, 2534.1675999999998, 2534.3835]"
932,"[21, 16, 63, 33, 37, 72]","[0.2832000000003063, 0.20489999999972497, 0.21090000000003783, 0.10429999999996653, 0.22220000000015716, 0.8732000000004518]","[2534.8846999999996, 2535.1679, 2535.3727999999996, 2535.5836999999997, 2535.6879999999996, 2535.9102]"
933,"[21, 11, 16, 63, 37, 72]","[0.270799999999781, 0.21450000000004366, 0.2739000000001397, 0.21849999999994907, 0.2242999999998574, 1.4279999999998836]","[2536.7834000000003, 2537.0542, 2537.2687, 2537.5426, 2537.7611, 2537.9854]"
934,"[21, 11, 16, 63, 37, 72]","[0.2721999999998843, 0.31950000000006185, 0.24870000000009895, 0.20669999999972788, 0.21620000000029904, 1.1399999999998727]","[2539.4134, 2539.6856, 2540.0051, 2540.2538, 2540.4604999999997, 2540.6767]"
935,"[21, 16, 63, 37, 72]","[0.25090000000000146, 0.23430000000007567, 0.2074999999999818, 0.2460999999998421, 1.3447000000001026]","[2541.8167, 2542.0676, 2542.3019, 2542.5094, 2542.7554999999998]"
936,"[21, 16, 63, 37, 72]","[0.2986000000000786, 0.2514000000001033, 0.2743000000000393, 0.29109999999991487, 1.3069000000000415]","[2544.1002, 2544.3988, 2544.6502, 2544.9245, 2545.2156]"
937,"[21, 16, 63, 37, 72]","[0.29609999999956926, 0.20430000000033033, 0.19679999999971187, 0.22010000000000218, 1.594000000000051]","[2546.5225, 2546.8185999999996, 2547.0229, 2547.2196999999996, 2547.4397999999997]"
938,"[21, 16, 63, 37, 72]","[0.31490000000030705, 0.18859999999995125, 0.25070000000005166, 0.2177999999998974, 1.1958000000004176]","[2549.0337999999997, 2549.3487, 2549.5373, 2549.788, 2550.0058]"
939,"[21, 16, 63, 37, 72]","[0.2727999999997337, 0.2832000000003063, 0.21469999999999345, 0.21809999999959473, 0.9440000000004147]","[2551.2016000000003, 2551.4744, 2551.7576000000004, 2551.9723000000004, 2552.1904]"
940,"[21, 11, 16, 63, 37, 72]","[0.7494999999998981, 0.07839999999987413, 0.24650000000019645, 0.20080000000007203, 0.2175999999999476, 1.1675999999997657]","[2553.1344000000004, 2553.8839000000003, 2553.9623, 2554.2088000000003, 2554.4096000000004, 2554.6272000000004]"
941,"[21, 16, 63, 37]","[0.2908999999999651, 0.25289999999995416, 0.21410000000014406, 0.22519999999985885]","[2555.7948, 2556.0857, 2556.3386, 2556.5527]"
942,"[21, 16, 63, 37, 72]","[0.38830000000007203, 0.23630000000002838, 0.2460999999998421, 0.23939999999993233, 1.1931000000004133]","[2561.3181, 2561.7064, 2561.9427, 2562.1888, 2562.4282]"
943,"[26, 63, 32]","[0.5435999999999694, 0.29839999999967404, 0.3166000000001077]","[2563.6213000000002, 2564.1649, 2564.4633]"
944,"[21, 16, 63, 37, 72]","[0.27880000000004657, 0.23230000000012296, 0.20929999999998472, 0.20890000000008513, 1.6329999999998108]","[2564.7799, 2565.0587, 2565.291, 2565.5003, 2565.7092000000002]"
945,"[21, 16, 63, 37, 72]","[0.3164000000001579, 0.27719999999999345, 0.21939999999995052, 0.33039999999982683, 1.6449999999999818]","[2567.3422, 2567.6586, 2567.9358, 2568.1552, 2568.4856]"
946,"[21, 16, 63, 37, 72]","[0.31799999999975626, 0.3447000000001026, 0.2438999999999396, 0.21280000000024302, 1.297099999999773]","[2570.1306, 2570.4485999999997, 2570.7933, 2571.0371999999998, 2571.25]"
947,"[21, 16, 63, 37, 72]","[0.4511000000002241, 0.27739999999994325, 0.2041999999996733, 0.22870000000011714, 1.0591000000003987]","[2572.5471, 2572.9982, 2573.2756, 2573.4797999999996, 2573.7084999999997]"
948,"[21, 16, 63, 37, 72]","[0.28989999999976135, 0.2638000000001739, 0.20719999999982974, 0.20710000000008222, 1.3154999999997017]","[2574.7676, 2575.0575, 2575.3213, 2575.5285, 2575.7356]"
949,"[21, 16, 63, 37, 72]","[0.2879000000002634, 0.25900000000001455, 0.2545999999997548, 0.2197000000001026, 0.9219000000002779]","[2577.0510999999997, 2577.339, 2577.598, 2577.8525999999997, 2578.0723]"
